id,username,first_name,last_name,date_of_birth,address,city,zipcode,telephone,office_phone,mobile,email,title,level,is_active,notes,creation_user
1,"itp10001","Fprofessor1","Lprofessor1","1970-01-20","The address","Athens","12345","2109988000","2107766000","6970000101","itp00001@hua.gr",,,,,,
2,"itp10002","Fprofessor2","Lprofessor2","1970-02-20","The address","Athens","12345","2109988001","2107766001","6970000102","itp00002@hua.gr",,,,,,
3,"itp10003","Fprofessor3","Lprofessor3","1970-03-20","The address","Athens","12345","2109988002","2107766002","6970000103","itp00003@hua.gr",,,,,,
4,"itp10004","Fprofessor4","Lprofessor4","1970-04-20","The address","Athens","12345","2109988003","2107766003","6970000104","itp00004@hua.gr",,,,,,
5,"itp10005","Fprofessor5","Lprofessor5","1970-05-20","The address","Athens","12345","2109988004","2107766004","6970000105","itp00005@hua.gr",,,,,,
6,"itp10006","Fprofessor6","Lprofessor6","1970-06-20","The address","Athens","12345","2109988005","2107766005","6970000106","itp00006@hua.gr",,,,,,
7,"itp10007","Fprofessor7","Lprofessor7","1970-07-20","The address","Athens","12345","2109988006","2107766006","6970000107","itp00007@hua.gr",,,,,,
8,"itp10008","Fprofessor8","Lprofessor8","1970-08-20","The address","Athens","12345","2109988007","2107766007","6970000108","itp00008@hua.gr",,,,,,
9,"itp10009","Fprofessor9","Lprofessor9","1970-09-20","The address","Athens","12345","2109988008","2107766008","6970000109","itp00009@hua.gr",,,,,,
10,"itp10010","Fprofessor10","Lprofessor10","1970-10-20","The address","Athens","12345","2109988009","2107766009","6970000110","itp00010@hua.gr",,,,,,
